date_key,full_date,day_of_week,day_num_in_month,day_num_overall,day_name,day_abbrev,weekday_flag,week_num_in_year,week_num_overall,week_begin_date,week_begin_date_key,month,month_num_overall,month_name,month_abbrev,quarter,year,yearmo,fiscal_month,fiscal_quarter,fiscal_year,month_end_flag,same_day_year_ago
20160101,1/1/2016,5,1,1,Friday,Fri,True,1,1,12/28/2015,20151228,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/1/2015
20160102,1/2/2016,6,2,2,Saturday,Sat,False,1,1,12/28/2015,20151228,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/2/2015
20160103,1/3/2016,7,3,3,Sunday,Sun,False,1,1,12/28/2015,20151228,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/3/2015
20160104,1/4/2016,1,4,4,Monday,Mon,True,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/4/2015
20160105,1/5/2016,2,5,5,Tuesday,Tue,True,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/5/2015
20160106,1/6/2016,3,6,6,Wednesday,Wed,True,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/6/2015
20160107,1/7/2016,4,7,7,Thursday,Thu,True,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/7/2015
20160108,1/8/2016,5,8,8,Friday,Fri,True,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/8/2015
20160109,1/9/2016,6,9,9,Saturday,Sat,False,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/9/2015
20160110,1/10/2016,7,10,10,Sunday,Sun,False,2,2,1/4/2016,20160104,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/10/2015
20160111,1/11/2016,1,11,11,Monday,Mon,True,3,3,1/11/2016,20160111,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/11/2015
20160112,1/12/2016,2,12,12,Tuesday,Tue,True,3,3,1/11/2016,20160111,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/12/2015
20160113,1/13/2016,3,13,13,Wednesday,Wed,True,3,3,1/11/2016,20160111,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/13/2015
20160114,1/14/2016,4,14,14,Thursday,Thu,True,3,3,1/11/2016,20160111,1,1,January,Jan,1,2016,201601,7,3,2016,False,1/14/2015
